No.  X  Y  Z  Yaw  Pitch  Roll  Weld_En
2 31.486 12.708 2.66 0 0 1 1
2 30.804 13.323 2.66 0 0 1 1
2 29.838 14.083 2.66 0 0 1 1
2 29.336 14.435 2.66 0 0 1 1
2 28.833 14.762 2.66 0 0 1 1
2 28.035 15.227 2.66 0 0 1 1
2 27.499 15.51 2.66 0 0 1 1
2 26.669 15.904 2.66 0 0 1 1
2 25.816 16.248 2.66 0 0 1 1
2 25.245 16.45 2.66 0 0 1 1
2 24.369 16.72 2.66 0 0 1 1
2 23.175 17.003 2.66 0 0 1 1
2 22.272 17.154 2.66 0 0 1 1
2 21.67 17.229 2.66 0 0 1 1
2 20.75 17.305 2.66 0 0 1 1
2 20.456 17.315 2.66 0 0 1 1
2 19.532 17.324 2.66 0 0 1 1
2 18.613 17.277 2.66 0 0 1 1
2 18.01 17.221 2.66 0 0 1 1
2 17.102 17.097 2.66 0 0 1 1
2 15.902 16.852 2.66 0 0 1 1
2 14.726 16.522 2.66 0 0 1 1
2 13.576 16.107 2.66 0 0 1 1
2 12.459 15.61 2.66 0 0 1 1
2 11.382 15.034 2.66 0 0 1 1
2 10.346 14.381 2.66 0 0 1 1
2 9.605 13.841 2.66 0 0 1 1
2 9.131 13.464 2.66 0 0 1 1
2 8.436 12.862 2.66 0 0 1 1
2 7.78 12.221 2.66 0 0 1 1
2 7.15 11.541 2.66 0 0 1 1
2 6.766 11.086 2.66 0 0 1 1
2 6.027 10.105 2.66 0 0 1 1
2 5.524 9.338 2.66 0 0 1 1
2 5.085 8.593 2.66 0 0 1 1
2 4.645 7.733 2.66 0 0 1 1
2 4.267 6.893 2.66 0 0 1 1
2 4.159 6.62 2.66 0 0 1 1
2 3.838 5.742 2.66 0 0 1 1
2 3.579 4.873 2.66 0 0 1 1
2 3.43 4.286 2.66 0 0 1 1
2 3.234 3.349 2.66 0 0 1 1
2 3.104 2.865 2.66 0 0 1 1
2 2.875 2.375 2.66 0 0 1 1
2 2.564 1.931 2.66 0 0 1 1
2 2.185 1.553 2.66 0 0 1 1
2 1.846 1.308 2.66 0 0 1 1
2 1.384 1.069 2.66 0 0 1 1
2 1.115 0.971 2.66 0 0 1 1
2 0.725 0.872 2.66 0 0 1 1
2 0.33 0.832 2.66 0 0 1 1
2 -0.452 0.827 2.66 0 0 1 1
2 -0.964 0.872 2.66 0 0 1 1
2 -1.482 1.011 2.66 0 0 1 1
2 -1.854 1.177 2.66 0 0 1 1
2 -2.095 1.316 2.66 0 0 1 1
2 -2.42 1.55 2.66 0 0 1 1
2 -2.698 1.82 2.66 0 0 1 1
2 -2.81 1.942 2.66 0 0 1 1
2 -3.107 2.366 2.66 0 0 1 1
2 -3.252 2.647 2.66 0 0 1 1
2 -3.386 3.003 2.66 0 0 1 1
2 -3.738 4.581 2.66 0 0 1 1
2 -3.991 5.468 2.66 0 0 1 1
2 -4.078 5.747 2.66 0 0 1 1
2 -4.507 6.896 2.66 0 0 1 1
2 -5.017 8.013 2.66 0 0 1 1
2 -5.323 8.594 2.66 0 0 1 1
2 -5.599 9.075 2.66 0 0 1 1
2 -6.266 10.107 2.66 0 0 1 1
2 -7.004 11.086 2.66 0 0 1 1
2 -7.39 11.544 2.66 0 0 1 1
2 -7.802 11.999 2.66 0 0 1 1
2 -8.674 12.862 2.66 0 0 1 1
2 -9.605 13.658 2.66 0 0 1 1
2 -10.339 14.206 2.66 0 0 1 1
2 -10.879 14.575 2.66 0 0 1 1
2 -11.618 15.033 2.66 0 0 1 1
2 -12.698 15.61 2.66 0 0 1 1
2 -13.816 16.108 2.66 0 0 1 1
2 -14.683 16.426 2.66 0 0 1 1
2 -14.959 16.52 2.66 0 0 1 1
2 -16.141 16.852 2.66 0 0 1 1
2 -17.34 17.097 2.66 0 0 1 1
2 -18.254 17.221 2.66 0 0 1 1
2 -18.544 17.254 2.66 0 0 1 1
2 -19.771 17.324 2.66 0 0 1 1
2 -20.994 17.305 2.66 0 0 1 1
2 -21.914 17.229 2.66 0 0 1 1
2 -22.205 17.198 2.66 0 0 1 1
2 -23.416 17.002 2.66 0 0 1 1
2 -24.606 16.721 2.66 0 0 1 1
2 -25.771 16.354 2.66 0 0 1 1
2 -26.909 15.903 2.66 0 0 1 1
2 -27.743 15.507 2.66 0 0 1 1
2 -28.005 15.375 2.66 0 0 1 1
2 -28.806 14.92 2.66 0 0 1 1
2 -29.578 14.432 2.66 0 0 1 1
2 -30.076 14.083 2.66 0 0 1 1
2 -31.041 13.324 2.66 0 0 1 1
2 -31.946 12.499 2.66 0 0 1 1
2 -32.581 11.838 2.66 0 0 1 1
2 -33.02 11.341 2.66 0 0 1 1
2 -33.561 10.671 2.66 0 0 1 1
2 -34.266 9.671 2.66 0 0 1 1
2 -34.896 8.627 2.66 0 0 1 1
2 -35.452 7.534 2.66 0 0 1 1
2 -35.812 6.691 2.66 0 0 1 1
2 -36.15 5.778 2.66 0 0 1 1
2 -36.315 5.254 2.66 0 0 1 1
2 -36.553 4.356 2.66 0 0 1 1
2 -36.622 4.07 2.66 0 0 1 1
2 -36.793 3.164 2.66 0 0 1 1
2 -36.883 2.546 2.66 0 0 1 1
2 -36.974 1.653 2.66 0 0 1 1
2 -37.019 0.422 2.66 0 0 1 1
2 -37.01 -0.126 2.66 0 0 1 1
2 -36.975 -0.793 2.66 0 0 1 1
2 -36.881 -1.705 2.66 0 0 1 1
2 -36.708 -2.794 2.66 0 0 1 1
2 -36.552 -3.506 2.66 0 0 1 1
2 -36.317 -4.394 2.66 0 0 1 1
2 -35.923 -5.559 2.66 0 0 1 1
2 -35.751 -5.994 2.66 0 0 1 1
2 -35.452 -6.678 2.66 0 0 1 1
2 -35.038 -7.506 2.66 0 0 1 1
2 -34.9 -7.766 2.66 0 0 1 1
2 -34.443 -8.536 2.66 0 0 1 1
2 -34.095 -9.069 2.66 0 0 1 1
2 -33.742 -9.568 2.66 0 0 1 1
2 -33.374 -10.052 2.66 0 0 1 1
2 -32.787 -10.758 2.66 0 0 1 1
2 -31.932 -11.658 2.66 0 0 1 1
2 -31.041 -12.468 2.66 0 0 1 1
2 -30.081 -13.224 2.66 0 0 1 1
2 -29.068 -13.908 2.66 0 0 1 1
2 -28.008 -14.518 2.66 0 0 1 1
2 -26.908 -15.048 2.66 0 0 1 1
2 -25.771 -15.499 2.66 0 0 1 1
2 -24.606 -15.865 2.66 0 0 1 1
2 -23.416 -16.147 2.66 0 0 1 1
2 -22.21 -16.342 2.66 0 0 1 1
2 -20.992 -16.449 2.66 0 0 1 1
2 -19.771 -16.468 2.66 0 0 1 1
2 -18.55 -16.399 2.66 0 0 1 1
2 -17.337 -16.241 2.66 0 0 1 1
2 -16.436 -16.063 2.66 0 0 1 1
2 -15.847 -15.92 2.66 0 0 1 1
2 -14.966 -15.667 2.66 0 0 1 1
2 -13.815 -15.252 2.66 0 0 1 1
2 -12.692 -14.753 2.66 0 0 1 1
2 -12.253 -14.529 2.66 0 0 1 1
2 -11.624 -14.182 2.66 0 0 1 1
2 -10.585 -13.526 2.66 0 0 1 1
2 -9.844 -12.986 2.66 0 0 1 1
2 -9.368 -12.608 2.66 0 0 1 1
2 -8.903 -12.21 2.66 0 0 1 1
2 -8.278 -11.63 2.66 0 0 1 1
2 -7.808 -11.15 2.66 0 0 1 1
2 -7.196 -10.458 2.66 0 0 1 1
2 -6.813 -9.987 2.66 0 0 1 1
2 -6.446 -9.5 2.66 0 0 1 1
2 -5.934 -8.758 2.66 0 0 1 1
2 -5.605 -8.229 2.66 0 0 1 1
2 -5.015 -7.153 2.66 0 0 1 1
2 -4.506 -6.039 2.66 0 0 1 1
2 -4.181 -5.182 2.66 0 0 1 1
2 -3.99 -4.608 2.66 0 0 1 1
2 -3.738 -3.725 2.66 0 0 1 1
2 -3.384 -2.138 2.66 0 0 1 1
2 -3.176 -1.639 2.66 0 0 1 1
2 -2.892 -1.194 2.66 0 0 1 1
2 -2.708 -0.974 2.66 0 0 1 1
2 -2.417 -0.692 2.66 0 0 1 1
2 -1.978 -0.385 2.66 0 0 1 1
2 -1.487 -0.157 2.66 0 0 1 1
2 -0.968 -0.018 2.66 0 0 1 1
2 -0.569 0.023 2.66 0 0 1 1
2 0.209 0.028 2.66 0 0 1 1
3 0.499 0.011 3.99 0 0 1 1
3 0.74 -0.02 3.99 0 0 1 1
3 1.24 -0.154 3.99 0 0 1 1
3 1.547 -0.286 3.99 0 0 1 1
3 1.922 -0.502 3.99 0 0 1 1
3 2.181 -0.696 3.99 0 0 1 1
3 2.408 -0.908 3.99 0 0 1 1
3 2.572 -1.087 3.99 0 0 1 1
3 2.869 -1.511 3.99 0 0 1 1
3 3.02 -1.809 3.99 0 0 1 1
3 3.17 -2.22 3.99 0 0 1 1
3 3.5 -3.728 3.99 0 0 1 1
3 3.691 -4.414 3.99 0 0 1 1
3 3.841 -4.896 3.99 0 0 1 1
3 4.071 -5.542 3.99 0 0 1 1
3 4.266 -6.037 3.99 0 0 1 1
3 4.779 -7.157 3.99 0 0 1 1
3 5.113 -7.786 3.99 0 0 1 1
3 5.364 -8.225 3.99 0 0 1 1
3 5.69 -8.751 3.99 0 0 1 1
3 6.025 -9.248 3.99 0 0 1 1
3 6.764 -10.228 3.99 0 0 1 1
3 7.572 -11.152 3.99 0 0 1 1
3 8.011 -11.602 3.99 0 0 1 1
3 8.432 -12.004 3.99 0 0 1 1
3 9.365 -12.802 3.99 0 0 1 1
3 10.349 -13.527 3.99 0 0 1 1
3 11.387 -14.182 3.99 0 0 1 1
3 11.949 -14.495 3.99 0 0 1 1
3 12.455 -14.754 3.99 0 0 1 1
3 13.577 -15.252 3.99 0 0 1 1
3 14.727 -15.667 3.99 0 0 1 1
3 15.907 -15.998 3.99 0 0 1 1
3 16.603 -16.15 3.99 0 0 1 1
3 17.095 -16.241 3.99 0 0 1 1
3 18.313 -16.399 3.99 0 0 1 1
3 19.533 -16.468 3.99 0 0 1 1
3 20.759 -16.449 3.99 0 0 1 1
3 21.469 -16.396 3.99 0 0 1 1
3 21.967 -16.343 3.99 0 0 1 1
3 23.179 -16.147 3.99 0 0 1 1
3 24.372 -15.864 3.99 0 0 1 1
3 25.054 -15.659 3.99 0 0 1 1
3 25.529 -15.5 3.99 0 0 1 1
3 26.67 -15.048 3.99 0 0 1 1
3 27.771 -14.517 3.99 0 0 1 1
3 28.834 -13.906 3.99 0 0 1 1
3 29.429 -13.515 3.99 0 0 1 1
3 29.839 -13.227 3.99 0 0 1 1
3 30.803 -12.468 3.99 0 0 1 1
3 31.707 -11.645 3.99 0 0 1 1
3 32.551 -10.756 3.99 0 0 1 1
3 33.01 -10.21 3.99 0 0 1 1
3 33.321 -9.818 3.99 0 0 1 1
3 34.034 -8.807 3.99 0 0 1 1
3 34.66 -7.769 3.99 0 0 1 1
3 35.216 -6.675 3.99 0 0 1 1
3 35.478 -6.077 3.99 0 0 1 1
3 35.685 -5.558 3.99 0 0 1 1
3 36.079 -4.391 3.99 0 0 1 1
3 36.265 -3.709 3.99 0 0 1 1
3 36.494 -2.668 3.99 0 0 1 1
3 36.604 -2.01 3.99 0 0 1 1
3 36.691 -1.298 3.99 0 0 1 1
3 36.736 -0.795 3.99 0 0 1 1
3 36.77 -0.164 3.99 0 0 1 1
3 36.781 0.426 3.99 0 0 1 1
3 36.764 1.139 3.99 0 0 1 1
3 36.69 2.159 3.99 0 0 1 1
3 36.604 2.864 3.99 0 0 1 1
3 36.485 3.565 3.99 0 0 1 1
3 36.265 4.564 3.99 0 0 1 1
3 36.078 5.251 3.99 0 0 1 1
3 35.899 5.815 3.99 0 0 1 1
3 35.688 6.406 3.99 0 0 1 1
3 35.42 7.067 3.99 0 0 1 1
3 34.99 7.994 3.99 0 0 1 1
3 34.659 8.625 3.99 0 0 1 1
3 34.301 9.238 3.99 0 0 1 1
3 33.741 10.094 3.99 0 0 1 1
3 33.324 10.669 3.99 0 0 1 1
3 32.889 11.214 3.99 0 0 1 1
3 32.55 11.613 3.99 0 0 1 1
3 32.066 12.135 3.99 0 0 1 1
3 31.335 12.851 3.99 0 0 1 1
3 30.803 13.323 3.99 0 0 1 1
3 30.246 13.773 3.99 0 0 1 1
3 29.843 14.079 3.99 0 0 1 1
3 29.341 14.432 3.99 0 0 1 1
3 28.835 14.76 3.99 0 0 1 1
3 27.767 15.374 3.99 0 0 1 1
3 27.135 15.69 3.99 0 0 1 1
3 26.198 16.1 3.99 0 0 1 1
3 25.534 16.354 3.99 0 0 1 1
3 24.859 16.576 3.99 0 0 1 1
3 23.873 16.847 3.99 0 0 1 1
3 23.182 17.002 3.99 0 0 1 1
3 21.969 17.198 3.99 0 0 1 1
3 21.265 17.269 3.99 0 0 1 1
3 20.244 17.322 3.99 0 0 1 1
3 19.533 17.324 3.99 0 0 1 1
3 18.823 17.293 3.99 0 0 1 1
3 17.805 17.198 3.99 0 0 1 1
3 17.105 17.098 3.99 0 0 1 1
3 15.903 16.852 3.99 0 0 1 1
3 14.727 16.522 3.99 0 0 1 1
3 13.577 16.107 3.99 0 0 1 1
3 12.46 15.611 3.99 0 0 1 1
3 11.379 15.033 3.99 0 0 1 1
